Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Cover_Type,Wilderness_Area,Soil_Type
2489.0,42,6,162.0,13,810,221.0,227,141,5247,Aspen,1,18
2490.0,75,5,134.0,17,810,227.0,230,137,5218,Aspen,1,18
2952.0,107,11,42.0,7,5845,239.0,226,116,3509,Lodgepole Pine,1,29
2705.0,90,8,134.0,22,2023,232.0,228,129,6615,Lodgepole Pine,1,12
2507.0,40,7,153.0,10,930,221.0,224,138,5221,Aspen,1,18
2500.0,49,14,150.0,27,870,225.0,210,116,5205,Aspen,1,18
2493.0,63,10,127.0,20,840,229.0,221,124,5197,Aspen,1,18
2509.0,59,7,134.0,10,900,226.0,226,134,5184,Aspen,1,18
2919.0,13,13,90.0,6,5321,207.0,214,142,4060,Spruce/Fir,1,29
2740.0,54,6,218.0,42,2287,224.0,227,138,6686,Lodgepole Pine,1,12
2640.0,80,8,180.0,-2,1092,231.0,225,127,5866,Lodgepole Pine,1,29
2843.0,166,12,242.0,53,4434,230.0,244,144,4956,Lodgepole Pine,1,30
3008.0,45,14,277.0,10,6371,223.0,208,116,3036,Lodgepole Pine,1,29
2893.0,114,16,108.0,30,5066,245.0,223,102,4340,Lodgepole Pine,1,29
2850.0,6,9,0.0,0,4858,210.0,223,151,4548,Lodgepole Pine,1,16
2628.0,30,10,240.0,19,960,217.0,218,136,5645,Lodgepole Pine,1,29
2864.0,118,18,201.0,74,4567,248.0,221,93,4849,Lodgepole Pine,1,30
2827.0,160,27,134.0,65,3948,235.0,233,108,5474,Lodgepole Pine,1,30
2529.0,326,5,30.0,14,1062,207.0,234,166,5047,Lodgepole Pine,1,16
2808.0,99,7,382.0,95,3107,233.0,230,130,6341,Spruce/Fir,1,12
2840.0,153,26,134.0,42,4613,241.0,231,102,4833,Lodgepole Pine,1,30
2795.0,79,10,531.0,96,2980,233.0,223,121,6497,Spruce/Fir,1,20
2746.0,143,16,67.0,22,2440,241.0,235,119,6597,Lodgepole Pine,1,12
2847.0,352,26,150.0,82,3697,169.5,187,152,5796,Spruce/Fir,1,29
2840.0,14,14,216.0,88,3552,206.0,210,140,5944,Spruce/Fir,1,12
2537.0,42,7,210.0,17,1132,222.0,224,137,4919,Lodgepole Pine,1,18
2860.0,358,17,175.0,98,3705,191.0,206,151,5800,Spruce/Fir,1,29
2818.0,332,26,30.0,17,4526,169.5,197,181,4978,Lodgepole Pine,1,29
2801.0,18,7,560.0,58,3084,215.0,226,148,6457,Lodgepole Pine,1,12
2791.0,63,10,418.0,48,2942,229.0,221,124,6606,Lodgepole Pine,1,12
2745.0,306,11,67.0,24,2416,190.0,234,184,6428,Lodgepole Pine,1,29
2514.0,102,6,272.0,-5,1082,230.0,233,137,4811,Lodgepole Pine,1,18
2788.0,13,16,30.0,8,4126,203.0,206,137,5396,Lodgepole Pine,1,29
2562.0,354,12,67.0,9,1057,200.0,218,156,5031,Lodgepole Pine,1,30
3073.0,173,12,108.0,-3,6836,227.0,246,149,2735,Lodgepole Pine,1,29
2978.0,71,10,426.0,85,5742,231.0,221,121,3792,Lodgepole Pine,1,29
2860.0,31,10,295.0,98,3644,218.0,218,135,5904,Spruce/Fir,1,12
3067.0,164,11,85.0,7,6811,230.0,243,144,2774,Lodgepole Pine,1,29
2804.0,72,5,543.0,61,3115,225.0,231,141,6471,Lodgepole Pine,1,12
2562.0,59,3,0.0,0,1116,221.0,233,148,5091,Lodgepole Pine,1,16
2567.0,34,9,190.0,16,1136,219.0,221,138,4924,Lodgepole Pine,1,18
2998.0,45,8,351.0,16,5842,223.0,222,134,3721,Lodgepole Pine,1,29
2684.0,84,12,150.0,2,1677,237.0,220,113,5693,Lodgepole Pine,1,29
2676.0,42,11,150.0,-5,1634,222.0,216,128,5655,Lodgepole Pine,1,29
2863.0,102,15,190.0,71,4389,244.0,219,100,5184,Spruce/Fir,1,29
2574.0,170,5,170.0,23,1180,224.0,242,153,4910,Lodgepole Pine,1,18
2511.0,211,6,162.0,30,1071,216.0,245,166,4660,Lodgepole Pine,1,18
3067.0,32,4,30.0,-2,6679,219.0,230,147,2947,Lodgepole Pine,1,20
2909.0,57,16,134.0,23,5502,229.0,203,102,4084,Lodgepole Pine,1,29
2863.0,348,14,309.0,89,3918,193.0,216,161,5695,Spruce/Fir,1,29
2567.0,333,1,0.0,0,1266,216.0,237,158,5079,Lodgepole Pine,1,16
3182.0,105,11,408.0,33,6000,240.0,226,115,1184,Spruce/Fir,1,29
2818.0,324,12,242.0,26,4156,189.0,227,177,5467,Spruce/Fir,1,16
2752.0,332,6,342.0,24,2372,207.0,233,165,6131,Lodgepole Pine,1,12
2751.0,88,5,400.0,30,2322,228.0,231,137,6088,Lodgepole Pine,1,12
2569.0,102,7,228.0,18,1266,232.0,231,132,4844,Lodgepole Pine,1,18
3195.0,111,15,469.0,46,5941,245.0,222,101,1206,Spruce/Fir,1,29
2982.0,53,14,240.0,63,5756,227.0,209,112,3880,Lodgepole Pine,1,29
2850.0,58,6,295.0,58,4394,225.0,227,137,5239,Spruce/Fir,1,29
2586.0,76,4,190.0,30,1290,225.0,232,143,4875,Lodgepole Pine,1,18
2837.0,17,13,330.0,45,4241,208.0,211,138,5428,Spruce/Fir,1,29
2723.0,99,6,301.0,34,2109,230.0,232,136,5793,Lodgepole Pine,1,12
3070.0,0,11,30.0,-6,6890,204.0,220,153,2858,Lodgepole Pine,1,29
3057.0,124,12,150.0,53,6508,240.0,231,118,3211,Lodgepole Pine,1,29
2818.0,119,19,30.0,10,5213,248.0,220,92,4497,Lodgepole Pine,1,29
2847.0,320,27,85.0,39,4983,169.5,190,199,4727,Lodgepole Pine,1,29
2606.0,112,11,30.0,4,1584,239.0,228,119,5106,Lodgepole Pine,1,16
2893.0,83,6,551.0,101,4011,229.0,230,135,5755,Lodgepole Pine,1,12
2716.0,1,10,234.0,27,2100,206.0,222,153,5581,Lodgepole Pine,1,12
2644.0,125,20,67.0,25,1719,249.0,221,90,5168,Lodgepole Pine,1,29
2613.0,37,5,216.0,34,1519,220.0,229,146,4818,Lodgepole Pine,1,12
2929.0,356,12,0.0,0,5757,201.0,219,155,4017,Lodgepole Pine,1,24
2767.0,307,12,30.0,8,2796,187.0,233,186,6192,Lodgepole Pine,1,29
2991.0,49,13,85.0,0,6199,225.0,211,117,3613,Spruce/Fir,1,24
2939.0,56,18,95.0,20,5563,229.0,200,98,4224,Lodgepole Pine,1,24
2537.0,7,12,0.0,0,1583,205.0,216,148,4509,Lodgepole Pine,1,16
3119.0,119,7,162.0,10,6660,233.0,234,133,2556,Lodgepole Pine,1,29
2942.0,346,12,30.0,3,5918,197.0,221,162,3900,Spruce/Fir,1,24
2886.0,12,7,570.0,94,4295,213.0,226,150,5518,Spruce/Fir,1,29
2775.0,344,13,42.0,7,2854,194.0,219,164,6177,Lodgepole Pine,1,29
2490.0,79,9,240.0,13,878,232.0,224,124,4184,Lodgepole Pine,1,18
3106.0,228,18,658.0,108,5984,191.0,254,196,1655,Spruce/Fir,1,29
2831.0,284,24,60.0,23,5208,169.5,232,216,4611,Lodgepole Pine,1,24
2837.0,112,8,272.0,16,3649,235.0,231,128,6221,Lodgepole Pine,1,12
2890.0,299,23,180.0,79,5104,169.5,224,212,4734,Lodgepole Pine,1,24
2824.0,135,5,218.0,6,3583,227.0,238,144,6316,Lodgepole Pine,1,20
2728.0,135,3,242.0,32,2250,224.0,238,150,5515,Lodgepole Pine,1,12
2962.0,88,16,190.0,23,6095,242.0,212,95,3811,Spruce/Fir,1,24
3142.0,220,11,424.0,69,6216,207.0,251,179,1989,Lodgepole Pine,1,29
2847.0,2,6,175.0,10,3757,212.0,229,154,6194,Lodgepole Pine,1,20
2536.0,34,5,242.0,16,1242,219.0,228,146,4201,Lodgepole Pine,1,18
3168.0,95,6,30.0,0,4884,229.0,231,136,1239,Spruce/Fir,1,29
2926.0,289,24,210.0,99,5126,169.5,228,216,4814,Spruce/Fir,1,24
2893.0,21,6,295.0,36,4106,216.0,227,148,5865,Lodgepole Pine,1,12
2687.0,20,11,150.0,39,1986,212.0,217,140,4936,Lodgepole Pine,1,12
3109.0,211,17,424.0,55,6089,204.0,254,181,2017,Lodgepole Pine,1,29
3119.0,200,20,60.0,0,6297,208.0,253,172,2377,Lodgepole Pine,1,29
2916.0,349,10,488.0,36,4472,202.0,223,160,5502,Spruce/Fir,1,29
2795.0,18,3,218.0,17,3042,217.0,233,153,6073,Lodgepole Pine,1,12
2555.0,58,14,285.0,19,1231,230.0,209,109,4159,Lodgepole Pine,1,18
2499.0,42,13,497.0,-7,953,222.0,212,123,3950,Lodgepole Pine,1,18
3027.0,173,11,335.0,42,5678,227.0,245,149,1900,Spruce/Fir,1,29
3096.0,160,15,85.0,16,6156,234.0,242,135,2310,Spruce/Fir,1,29
2916.0,105,13,268.0,89,5618,242.0,223,108,4417,Lodgepole Pine,1,29
2591.0,42,12,350.0,22,1398,222.0,213,125,4224,Lodgepole Pine,1,29
3185.0,328,16,127.0,13,4763,178.0,219,180,1392,Spruce/Fir,1,29
3021.0,221,10,324.0,39,5675,208.0,250,177,1937,Spruce/Fir,1,29
3083.0,257,4,510.0,-25,6363,209.0,242,171,2873,Lodgepole Pine,1,29
2860.0,276,27,60.0,33,5292,169.5,226,216,4759,Lodgepole Pine,1,24
3008.0,196,15,228.0,20,5535,215.0,251,166,1924,Lodgepole Pine,1,23
3034.0,189,14,384.0,66,5754,220.0,250,160,2012,Spruce/Fir,1,29
2873.0,130,16,67.0,16,4030,244.0,230,110,6091,Lodgepole Pine,1,30
3182.0,49,13,319.0,7,4767,225.0,211,118,1513,Spruce/Fir,1,29
2998.0,102,12,384.0,117,6026,239.0,225,114,4121,Lodgepole Pine,1,29
2658.0,357,20,300.0,54,1597,184.0,199,149,4286,Lodgepole Pine,1,29
3175.0,15,7,366.0,92,4816,214.0,226,149,1584,Spruce/Fir,1,29
2952.0,8,7,488.0,117,4953,212.0,227,152,5192,Spruce/Fir,1,20
2622.0,95,12,484.0,39,1329,239.0,222,112,4086,Lodgepole Pine,1,29
2955.0,288,21,247.0,117,5224,169.5,233,215,4968,Lodgepole Pine,1,24
2837.0,66,9,201.0,23,3655,229.0,221,124,6341,Lodgepole Pine,1,20
3182.0,45,3,458.0,109,4723,220.0,232,149,1661,Spruce/Fir,1,29
3077.0,129,3,618.0,43,6296,225.0,237,147,3261,Lodgepole Pine,1,29
2755.0,320,4,30.0,-1,2890,209.0,236,165,5468,Lodgepole Pine,1,12
3047.0,28,11,600.0,13,6414,216.0,215,134,3540,Spruce/Fir,1,29
2880.0,86,12,30.0,3,4369,237.0,221,113,5906,Lodgepole Pine,1,30
3221.0,292,3,424.0,49,4401,212.0,238,165,1710,Spruce/Fir,1,29
3182.0,115,10,553.0,10,4605,237.0,231,124,1768,Spruce/Fir,1,29
3064.0,29,24,150.0,46,5051,204.0,186,104,2148,Spruce/Fir,1,29
2827.0,332,15,42.0,9,3599,185.0,221,174,6067,Lodgepole Pine,1,29
2518.0,107,5,360.0,39,553,229.0,234,139,3522,Lodgepole Pine,1,18
3050.0,180,4,277.0,-3,5782,221.0,242,156,2721,Spruce/Fir,1,29
3107.0,356,12,283.0,89,4855,201.0,219,155,2069,Spruce/Fir,1,29
2995.0,173,15,268.0,117,6312,228.0,246,146,4135,Lodgepole Pine,1,30
2721.0,164,4,67.0,-2,1747,224.0,241,152,4191,Lodgepole Pine,1,12
3182.0,116,7,579.0,10,4425,233.0,233,133,1854,Spruce/Fir,1,29
2724.0,132,11,60.0,-2,2720,238.0,234,124,4875,Lodgepole Pine,1,12
2515.0,90,9,313.0,39,511,233.0,227,125,3451,Lodgepole Pine,1,18
3017.0,46,22,212.0,52,5118,221.0,188,92,2352,Spruce/Fir,1,29
3077.0,256,4,618.0,117,6230,210.0,242,170,3734,Lodgepole Pine,1,29
2929.0,338,8,190.0,39,4393,202.0,228,165,6106,Lodgepole Pine,1,12
2735.0,127,12,67.0,6,2806,240.0,232,120,4924,Lodgepole Pine,1,12
2893.0,319,20,150.0,43,5825,169.5,217,192,4667,Lodgepole Pine,1,24
3231.0,45,4,648.0,59,4173,221.0,231,147,1921,Spruce/Fir,1,29
2560.0,89,10,218.0,34,731,235.0,224,120,3505,Lodgepole Pine,1,29
3162.0,43,15,484.0,117,4657,221.0,205,115,2188,Spruce/Fir,1,29
2982.0,188,14,120.0,-2,5501,220.0,250,160,2750,Spruce/Fir,1,29
2731.0,66,5,0.0,0,2826,225.0,230,141,4873,Lodgepole Pine,1,20
3172.0,50,11,759.0,0,4287,225.0,215,123,2037,Spruce/Fir,1,20
2916.0,138,21,127.0,49,6349,247.0,227,98,4206,Lodgepole Pine,1,29
2890.0,63,17,153.0,35,3670,233.0,202,96,5757,Lodgepole Pine,1,30
2704.0,45,10,323.0,22,1323,223.0,219,130,3734,Lodgepole Pine,1,12
3198.0,23,18,604.0,117,4545,207.0,200,124,2285,Spruce/Fir,1,29
2985.0,214,5,342.0,63,5495,215.0,245,166,3195,Lodgepole Pine,1,29
3011.0,323,21,443.0,117,5838,169.5,214,188,4910,Lodgepole Pine,1,24
3024.0,312,18,474.0,117,5785,169.5,224,194,4961,Lodgepole Pine,1,24
2763.0,7,12,85.0,17,2850,205.0,216,148,4788,Lodgepole Pine,1,24
3244.0,56,16,618.0,76,3865,229.0,204,104,2225,Spruce/Fir,1,40
2955.0,9,10,85.0,10,5167,209.0,221,149,2819,Spruce/Fir,1,16
3201.0,10,13,762.5,117,4136,205.0,213,143,2289,Spruce/Fir,1,23
2972.0,36,25,30.0,0,5113,209.0,186,90,2816,Spruce/Fir,1,29
2985.0,167,13,458.0,66,5571,230.0,244,144,3519,Lodgepole Pine,1,29
2539.0,23,17,90.0,15,488,207.0,201,125,3115,Lodgepole Pine,1,29
3001.0,260,8,720.0,117,5790,200.0,245,183,3903,Lodgepole Pine,1,29
2952.0,51,10,150.0,16,5123,225.0,218,126,2960,Spruce/Fir,1,16
2962.0,211,13,255.0,43,5365,209.0,252,177,3337,Lodgepole Pine,1,29
3004.0,0,12,484.0,85,5068,202.0,217,152,5840,Spruce/Fir,1,12
2727.0,45,4,124.0,21,2285,221.0,231,147,4245,Lodgepole Pine,1,12
3004.0,167,17,603.0,117,5798,232.0,244,137,4031,Lodgepole Pine,1,29
2886.0,22,8,285.0,31,3849,215.0,222,144,5557,Lodgepole Pine,1,29
3024.0,344,8,600.0,105,5201,203.0,227,163,5764,Spruce/Fir,1,12
3034.0,187,14,335.0,117,6084,221.0,249,158,4921,Lodgepole Pine,1,30
2903.0,279,13,190.0,26,4179,184.0,241,197,5904,Lodgepole Pine,1,29
2926.0,245,4,30.0,7,5180,212.0,243,169,3331,Spruce/Fir,1,23
2942.0,200,16,180.0,23,5276,212.0,252,170,3470,Lodgepole Pine,1,29
2991.0,54,13,495.0,65,4849,227.0,211,115,6214,Lodgepole Pine,1,12
2742.0,116,9,150.0,21,2475,236.0,231,126,4314,Lodgepole Pine,1,12
2606.0,356,18,67.0,26,911,188.0,205,152,3174,Lodgepole Pine,1,29
3244.0,326,5,750.0,53,3730,207.0,234,166,2460,Spruce/Fir,1,23
3237.0,27,14,762.5,36,4002,213.0,210,130,2506,Spruce/Fir,1,23
2616.0,359,24,42.0,15,977,176.0,187,142,3186,Lodgepole Pine,1,29
2913.0,16,11,457.0,58,3974,211.0,217,142,5568,Lodgepole Pine,1,29
2813.0,48,7,201.0,35,3018,223.0,225,137,4729,Lodgepole Pine,1,24
2530.0,149,1,319.0,51,234,221.0,238,154,2726,Lodgepole Pine,1,29
3260.0,45,7,503.0,69,3558,222.0,225,138,2531,Spruce/Fir,1,40
3047.0,90,3,762.5,117,5484,224.0,234,146,5635,Lodgepole Pine,1,12
2955.0,60,20,201.0,33,4934,231.0,195,88,3248,Spruce/Fir,1,29
2893.0,77,13,85.0,7,6012,236.0,215,107,4682,Lodgepole Pine,1,29
2965.0,38,24,247.0,49,4883,212.0,186,92,3315,Spruce/Fir,1,29
3037.0,230,15,570.0,117,5985,196.0,252,191,5238,Lodgepole Pine,1,29
3027.0,152,10,762.5,108,5316,233.0,240,138,5912,Lodgepole Pine,1,12
2756.0,70,16,120.0,35,2501,235.0,208,100,4210,Lodgepole Pine,1,12
2939.0,325,6,510.0,62,4078,206.0,234,167,5584,Lodgepole Pine,1,20
3198.0,126,9,418.0,23,4200,235.0,234,130,2858,Spruce/Fir,1,19
3195.0,90,7,362.0,20,4243,231.0,229,132,2880,Spruce/Fir,1,23
2975.0,222,6,360.0,89,5719,213.0,245,169,4519,Lodgepole Pine,1,29
2890.0,84,13,30.0,4,5918,238.0,218,108,4761,Lodgepole Pine,1,30
3018.0,109,10,762.5,117,5833,238.0,229,121,5486,Lodgepole Pine,1,29
3011.0,85,5,762.5,85,5389,228.0,231,137,5975,Lodgepole Pine,1,12
3221.0,79,16,618.0,20,3968,239.0,210,96,2868,Spruce/Fir,1,23
3004.0,135,7,762.5,78,5383,231.0,237,138,6017,Lodgepole Pine,1,29
2572.0,49,20,384.0,53,391,224.0,192,94,2509,Lodgepole Pine,1,29
3260.0,128,11,743.0,46,3824,238.0,233,124,2854,Spruce/Fir,1,23
3168.0,25,4,30.0,0,4426,218.0,231,150,3180,Spruce/Fir,1,20
2878.0,349,12,67.0,0,3489,198.0,220,161,4924,Lodgepole Pine,1,29
3198.0,9,8,301.0,23,4099,211.0,224,150,3076,Spruce/Fir,1,19
2975.0,260,8,391.0,66,6071,200.0,245,183,5262,Lodgepole Pine,1,29
3178.0,38,10,0.0,0,4286,220.0,217,131,3248,Spruce/Fir,1,29
2995.0,176,10,690.0,86,6068,226.0,246,152,5533,Lodgepole Pine,1,29
2913.0,144,8,210.0,20,5478,232.0,239,139,4733,Lodgepole Pine,1,30
2982.0,175,9,424.0,56,5267,225.0,245,153,6500,Spruce/Fir,1,12
2945.0,209,12,362.0,36,5877,211.0,251,173,5354,Lodgepole Pine,1,29
2995.0,143,2,631.0,23,5459,223.0,238,151,6349,Spruce/Fir,1,29
2942.0,0,3,0.0,0,4830,215.0,233,156,6062,Lodgepole Pine,1,20
2945.0,288,5,0.0,0,4801,205.0,239,173,6034,Lodgepole Pine,1,20
2959.0,288,8,120.0,14,4683,199.0,240,180,5920,Lodgepole Pine,1,12
2796.0,114,13,60.0,8,2599,242.0,226,111,3934,Lodgepole Pine,1,12
2785.0,315,2,60.0,-2,2486,214.0,237,161,3829,Lodgepole Pine,1,23
2784.0,325,17,153.0,33,1798,177.0,220,182,3198,Lodgepole Pine,1,30
2789.0,320,15,182.0,50,1771,181.0,225,183,3174,Lodgepole Pine,1,30
2922.0,162,19,240.0,22,5076,235.0,241,129,4536,Lodgepole Pine,1,30
3008.0,135,3,762.5,36,5727,224.0,238,150,6096,Lodgepole Pine,1,29
2978.0,73,10,323.0,49,5160,232.0,221,121,6368,Lodgepole Pine,1,29
2892.0,54,11,134.0,12,3178,226.0,217,123,4457,Lodgepole Pine,1,12
2521.0,45,10,42.0,2,408,223.0,218,129,2066,Lodgepole Pine,1,20
2985.0,72,7,497.0,13,5372,228.0,227,133,6482,Spruce/Fir,1,29
3057.0,39,19,626.0,117,4435,217.0,196,107,3955,Spruce/Fir,1,29
2829.0,78,9,60.0,8,2941,232.0,223,123,4187,Lodgepole Pine,1,23
3201.0,331,5,0.0,0,4002,208.0,234,164,3460,Spruce/Fir,1,20
3136.0,329,13,762.5,-13,4228,187.0,223,175,3798,Spruce/Fir,1,29
2548.0,355,14,60.0,7,551,197.0,215,155,2058,Lodgepole Pine,1,20
2962.0,89,9,42.0,3,4891,234.0,225,122,6046,Lodgepole Pine,1,12
2808.0,15,13,201.0,20,2431,208.0,213,141,3651,Lodgepole Pine,1,12
2749.0,87,12,516.0,43,1499,238.0,220,111,2797,Lodgepole Pine,1,12
3155.0,328,14,762.5,-19,4184,185.0,222,177,3871,Spruce/Fir,1,29
2991.0,285,11,762.5,98,5939,189.0,240,191,6068,Lodgepole Pine,1,20
2968.0,108,5,306.0,49,4113,229.0,234,138,5265,Lodgepole Pine,1,12
2932.0,77,13,108.0,21,3911,236.0,216,108,5067,Lodgepole Pine,1,30
2808.0,356,7,153.0,3,2592,209.0,227,157,3757,Lodgepole Pine,1,23
2794.0,106,4,210.0,37,1888,227.0,234,142,3079,Spruce/Fir,1,12
3080.0,24,17,659.0,117,4377,208.0,201,125,4176,Spruce/Fir,1,29
2936.0,52,16,180.0,27,4656,227.0,203,105,4456,Spruce/Fir,1,23
2913.0,261,10,313.0,10,5706,197.0,245,187,5517,Lodgepole Pine,1,29
2919.0,232,8,323.0,19,5728,207.0,248,178,5539,Lodgepole Pine,1,29
2978.0,257,6,85.0,13,4795,205.0,244,177,5905,Lodgepole Pine,1,12
2574.0,312,14,134.0,32,636,183.0,229,187,1924,Lodgepole Pine,1,30
3142.0,59,21,730.0,-32,4155,231.0,192,85,4070,Spruce/Fir,1,29
2804.0,15,10,212.0,47,1917,211.0,219,144,3031,Spruce/Fir,1,12
2595.0,9,14,42.0,19,799,204.0,212,144,2010,Lodgepole Pine,1,30
2929.0,232,8,366.0,33,5835,208.0,247,177,5776,Lodgepole Pine,1,29
3001.0,246,9,762.5,101,5961,201.0,247,184,6227,Lodgepole Pine,1,29
2813.0,94,7,371.0,56,1800,231.0,230,132,2872,Lodgepole Pine,1,30
2988.0,342,6,192.0,26,4805,208.0,231,162,5836,Lodgepole Pine,1,12
3175.0,59,18,612.0,0,4042,231.0,200,96,4184,Spruce/Fir,1,23
2861.0,0,6,134.0,10,2980,211.0,228,155,3972,Lodgepole Pine,1,30
2804.0,61,7,362.0,10,1838,226.0,225,133,2825,Lodgepole Pine,1,30
3001.0,78,10,335.0,29,5320,234.0,221,118,6310,Spruce/Fir,1,12
2914.0,141,9,277.0,18,3471,234.0,238,135,4430,Lodgepole Pine,1,12
2668.0,41,17,283.0,68,1276,219.0,200,110,2240,Lodgepole Pine,1,30
3185.0,129,12,481.0,10,3899,240.0,233,121,4273,Spruce/Fir,1,29
2913.0,216,9,268.0,20,5715,211.0,249,173,5983,Spruce/Fir,1,16
3168.0,72,5,418.0,-6,3855,226.0,230,138,4394,Spruce/Fir,1,23
2955.0,30,9,30.0,3,4478,218.0,220,137,5370,Lodgepole Pine,1,20
2932.0,100,7,30.0,-6,4280,232.0,231,131,5166,Lodgepole Pine,1,19
3234.0,0,11,658.0,26,3589,204.0,220,153,4109,Spruce/Fir,1,23
3201.0,53,7,488.0,26,3667,224.0,225,135,4255,Spruce/Fir,1,29
2903.0,236,5,212.0,10,5656,211.0,244,171,6046,Spruce/Fir,1,16
2874.0,352,2,400.0,19,2869,216.0,236,157,3653,Lodgepole Pine,1,29
2903.0,254,6,212.0,3,5689,206.0,244,176,6195,Spruce/Fir,1,16
